Config_Name,Pass@1,AUROC,TPR(FPR<0.1%),TPR(FPR<1%),TPR(FPR<5%)
g0.25_d2.0_t0.4_w0.5,0.2957,0.7624367935752527,0.16463414634146342,0.18902439024390244,0.27439024390243905,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.0_t0.4_w0.7,0.3171,0.7678465199286139,0.12804878048780488,0.23170731707317074,0.31097560975609756,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.0_t0.4_w0.8,0.3024,0.740611986912552,0.12195121951219512,0.12195121951219512,0.2926829268292683,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.0_t0.5_w0.5,0.3055,0.7283053242117787,0.06097560975609756,0.08536585365853659,0.3231707317073171,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.0_t0.5_w0.7,0.3183,0.7707093991671624,0.15853658536585366,0.21341463414634146,0.3719512195121951,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.0_t0.5_w0.8,0.3232,0.7727729030339083,0.21341463414634146,0.24390243902439024,0.4695121951219512,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.0_t0.6_w0.5,0.3085,0.7534763533610946,0.10975609756097561,0.16463414634146342,0.32926829268292684,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.0_t0.6_w0.7,0.3073,0.7628643664485425,0.14634146341463414,0.1524390243902439,0.3353658536585366,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.0_t0.6_w0.8,0.3098,0.7671029149315883,0.16463414634146342,0.17682926829268292,0.3475609756097561,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.0_t0.8_w0.5,0.3384,0.7533648126115406,0.11585365853658537,0.24390243902439024,0.4268292682926829,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.0_t0.8_w0.7,0.3146,0.7873103807257583,0.27439024390243905,0.27439024390243905,0.36585365853658536,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.0_t0.8_w0.8,0.339,0.7277104402141582,0.23170731707317074,0.23170731707317074,0.31097560975609756,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.5_t0.4_w0.5,0.2854,0.7971817370612729,0.2804878048780488,0.3048780487804878,0.39634146341463417,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.5_t0.4_w0.7,0.2872,0.8152699286139202,0.2682926829268293,0.34146341463414637,0.4573170731707317,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.5_t0.4_w0.8,0.2896,0.8109384295062463,0.24390243902439024,0.25609756097560976,0.4634146341463415,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.5_t0.5_w0.5,0.2902,0.7746319155264723,0.17073170731707318,0.2073170731707317,0.43902439024390244,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.5_t0.5_w0.7,0.2939,0.7388273349196907,0.23780487804878048,0.2621951219512195,0.39634146341463417,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.5_t0.5_w0.8,0.2884,0.8180770374776918,0.3231707317073171,0.3353658536585366,0.5670731707317073,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.5_t0.6_w0.5,0.3018,0.8158648126115408,0.20121951219512196,0.2682926829268293,0.47560975609756095,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.5_t0.6_w0.7,0.3049,0.8135968173706127,0.23170731707317074,0.25,0.4817073170731707,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.5_t0.6_w0.8,0.2909,0.780060232004759,0.2682926829268293,0.2926829268292683,0.5121951219512195,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.5_t0.8_w0.5,0.325,0.813745538370018,0.25,0.3475609756097561,0.5304878048780488,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d2.5_t0.8_w0.7,0.3177,0.8187276918500891,0.3231707317073171,0.3231707317073171,0.4451219512195122,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
